"id","microred_id/id","institucion","codigo_eess","name","ubigeo","categoria","estado","condicion","telefono","responsable","inicio_actividad","direccion","ruc","tipo","coor_norte","coor_este"
"renipress.eess_00007815","renipress.microred_8_00_00","2","00007815","CONSULTORIO MEDICO FAMILIAR PAAD ESSALUD LA PUNTA","070105","99","0","1","264-5727","DANITZA PATRICIA MANCHEGO LLERENA ","06/08/2007","AVENIDA SAENZ PEÑA 436","20147907487","2","",""
"renipress.eess_00007948","renipress.microred_8_00_00","2","00007948","CENTRO DE ATENCION PRIMARIA CAP II LUIS NEGREIROS VEGA","070101","2","1","3","5788989","CESAR ANTONIO BERAMENDI GALDOS ","06/08/2008","AVENIDA AVENIDA TOMAS VALLE CDRA 34 S/N NÚMERO S/N DISTRITO CALLAO PROVINCIA CALLAO DEPARTAMENTO CALLAO","20131257750","2","-77.097146","-12.0150475"
"renipress.eess_00008056","renipress.microred_8_00_00","2","00008056","POLICLINICO BELLAVISTA","070102","99","0","1","01-4208986","LUIS ALEJANDRO RIVERA LEON ","06/05/2009","MZA. I - LOTE 2 AV, DOS CIUDAD DEL PESCADOR","20131257750","2","",""
"renipress.eess_00008057","renipress.microred_8_00_00","2","00008057","POLICLINICO BELLAVISTA","070102","99","0","1","01-4208986","LUIS ALEJANDRO RIVERA LEON ","06/05/2008","MZA I - LOTE 2 AV. 2 CIUDAD DEL PESCADOR","20131257750","2","",""
"renipress.eess_00008058","renipress.microred_8_00_00","2","00008058","POLICLINICO BELLAVISTA","070102","99","0","1","01-4208986","LUIS ALEJANDRO RIVERA LEON ","06/05/2008","MZA I - LOTE 2 AV. 2 CIUDAD DEL PESCADOR","20131257750","2","",""
"renipress.eess_00008059","renipress.microred_8_00_00","2","00008059","POLICLINICO BELLAVISTA","070102","99","0","1","01-4208986","LUIS ALEJANDRO RIVERA LEON ","06/05/2008","MZA I - LOTE 2 AV. 2 CIUDAD DEL PESCADOR","20131257750","2","",""
"renipress.eess_00008060","renipress.microred_8_00_00","2","00008060","POLICLINICO BELLAVISTA","070102","99","0","1","01-4208986","LUIS ALEJANDRO RIVERA LEON ","06/05/2008","MZA I - LOTE 2 AV. 2 CIUDAD DEL PESCADOR","20131257750","2","",""
"renipress.eess_00008061","renipress.microred_8_00_00","2","00008061","POLICLINICO BELLAVISTA","070102","3","1","3","01-4208986","LUIS ALEJANDRO RIVERA LEON ","06/05/2008","MZA I - LOTE 2 AV. 2 CIUDAD DEL PESCADOR","20131257750","2","-77.109046","-12.0599566"
"renipress.eess_00008146","renipress.microred_8_00_00","2","00008146","POLICLINICO HERMANA MARIA DONROSE SUTMÖLLER","070106","2","1","3","5534245","BETTY ELIANA SAUSA HUAMAN ","25/05/2000","AVENIDA AVENIDA GONZALES GANOZA S/N I SECTOR IZQUIERDO URB ANTONIO MORENO DE CACERES S/N AVENIDA GONZALES GANOZA S/N I SECTOR IZQUIERDO URB ANTONIO MORENO DE CACERES VENTANILLA CALLAO CALLAO","20131257750","2","-77.124338","-11.886491"
"renipress.eess_00008251","renipress.microred_21_00_00","2","00008251","CAP III HUAYCAN-GRDA-ESSALUD","150103","3","1","3","3715760","LUIS ALBERTO DE LA FLOR CARAZAS ","23/07/2009","AVENIDA AV. J.C. MARIATEGUI, MZ. C, LOTE 49-50 - URB. LUCUMO, PARIACHI DISTRITO ATE PROVINCIA LIMA DEPARTAMENTO LIMA","20131257750","2","-76.8299031","-12.009876"
