"id","microred_id/id","institucion","codigo_eess","name","ubigeo","categoria","estado","condicion","telefono","responsable","inicio_actividad","direccion","ruc","tipo","coor_norte","coor_este"
"renipress.eess_00008170","renipress.microred_17_00_00","8","00008170","CENTRO MEDICO MUNICIPAL","120101","3","1","3","064-213920","HUGO ADRIAN PALOMINO LEON ","18/05/2006","AVENIDA AV. CALMELL DEL SOLAR Nº 1301 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN","20133696823","2","",""
"renipress.eess_00008247","renipress.microred_21_00_00","8","00008247","SISOL EL AGUSTINO","150111","3","1","3","3855063","JOSUE ALFREDO ABREGU ANAMPA ","20/07/2009","AVENIDA AV. J.C. MARIATEGUI - AV. CESAR VALLEJO AV. J.C. MARIATEGUI - AV. CESAR VALLEJO EL AGUSTINO LIMA LIMA","20509510149","2","",""
"renipress.eess_00008333","renipress.microred_21_00_00","8","00008333","SISOL HUAYCAN","150103","3","1","3","3716497","SUMAC URPI ROJAS RONDAN ","02/10/2006","CALLE 11 S/N - LOTE 2 - ZONA H COSTADO DEL COLEGIO 1255 - HUAYCAN S/N CALLE 11 S/N - LOTE 2 - ZONA H COSTADO DEL COLEGIO 1255 - HUAYCAN ATE LIMA LIMA","20509510149","2","",""
"renipress.eess_00008390","renipress.microred_36_00_00","8","00008390","SISTEMA METROPOLITANO DE LA SOLIDARIDAD / LINCE","150116","3","1","3","(51) 1-4726755","VANESSA MAYTE MUSSO DORADOR ","21/03/2006","AVENIDA AV. CANEVARO Nº 550 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA","20509510149","2","-77.039484","-12.084095"
"renipress.eess_00008391","renipress.microred_36_00_00","8","00008391","SISTEMA METROPOLITANO DE LA SOLIDARIDAD","150115","3","0","1","3330759","SHEYLA DEL CARMEN GONZALES GAYOSO ","14/02/2007","AV. MANCO CAPAC Nº 700","20509510149","2","",""
"renipress.eess_00008445","renipress.microred_36_00_00","8","00008445","SISTEMA METROPOLITANO DE LA SOLIDARIDAD / SOLIDARIDAD SALUD CAMANA","150101","3","1","3","4264619","ROGER PIÑAS ASTETE ","05/04/2005","JIRÓN JR. CAMANA 700 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA","20509510149","2","",""
"renipress.eess_00008568","renipress.microred_36_00_00","8","00008568","SISTEMA METROPOLITANO DE LA SOLIDARIDAD / SURQUILLO","150141","3","1","3","(51) 1-2242222","CARLOS IVAN CHAVESTA RIMAPA ","02/07/2004","AVENIDA AV. ANGAMOS 714-734 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA","20509510149","2","-77.02400451","-12.11349791"
"renipress.eess_00008788","renipress.microred_36_00_00","8","00008788","SISOL JUAN PABLO II","150132","3","1","3","(51) 1-3883932","MARTIN JORGE EGOAVIL SALCEDO ","12/03/2007","CALLE 16 S/N A.H JUAN PABLO II 1RA ETAPA, MZ. T, LOTE 15 SAN JUAN DE LURIGANCHO LIMA LIMA","20509510149","2","",""
"renipress.eess_00008789","renipress.microred_36_00_00","8","00008789","SISOL TRABAJADORES HOSPITAL DEL NIÑO","150132","3","1","3","3870490","FRANKZ MAX PARRA MEDINA ","12/03/2007","AVENIDA AV. REPUBLICA DE POLONIA 1504 DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA","20509510149","2","",""
"renipress.eess_00009045","renipress.microred_36_00_00","8","00009045","SISOL JOSE CARLOS MARIATEGUI","150132","3","1","3","3922128","OLGA GLADYS ZEVALLOS SACCACO ","11/06/2007","AVENIDA AV. CONTINUACION S/N AAHH JOSE CARLOS MARIATEGUI NÚMERO S/N DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA","20509510149","2","",""
"renipress.eess_00009147","renipress.microred_35_00_00","8","00009147","SISTEMA METROPOLITANO DE LA SOLIDARIDAD","150125","99","1","3","5480573","SAKKY NIRMALI RIVAS HUAMAN ","02/01/2009","KILOMETRO 30 DE LA PANAMERICANA NORTE KILOMETRO 30 DE LA PANAMERICANA NORTE SAN ISIDRO LIMA LIMA","20509510149","2","",""
"renipress.eess_00009225","renipress.microred_35_00_00","8","00009225","SISOL","150135","3","0","1","5670650","VALIERY STABRY CERSSO VERGARA ","01/10/2009","JR HUANCAYO 460","20509510149","2","",""
"renipress.eess_00009229","renipress.microred_35_00_00","8","00009229","SISTEMA METROPOLITANO DE LA SOLIDARIDAD / SOLIDARIDAD SALUD CARABAYLLO","150106","3","1","3","5433444","JORGE ALFONSO CASHPA LABORIO ","08/08/1996","AVENIDA AV SAN MARTIN CUADRA DOS S/N CARABAYLLO NÚMERO S/N DISTRITO CARABAYLLO PROVINCIA LIMA DEPARTAMENTO LIMA","20509510149","2","-76.9873477","-11.792902"
"renipress.eess_00009242","renipress.microred_35_00_00","8","00009242","HOSPITAL DE LA SOLIDARIDAD - AV PERU 3811","150135","3","0","1","5670650","VALIERY STABRY CERSSO VERGARA ","01/11/2009","AV PERU N°3811","20509510149","2","",""
"renipress.eess_00009545","renipress.microred_33_00_00","8","00009545","SOLIDARIDAD SALUD TUMBES","240101","3","1","3","072-523755","FIORELLA TATIANA CALISAYA QUEVEDO ","02/07/2009","AVENIDA AV. TUMBES NORTE S/N S/N AV. TUMBES NORTE S/N TUMBES TUMBES TUMBES","20509510149","2","",""
