"id","microred_id/id","institucion","codigo_eess","name","ubigeo","categoria","estado","condicion","telefono","responsable","inicio_actividad","direccion","ruc","tipo","coor_norte","coor_este"
"renipress.eess_00010463","renipress.microred_21_00_00","11","00010463","SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL","150111","99","1","3","3173000","ENRIQUE EMILIO VAN OORDT BELLIDO ","22/07/2010","AV. RAMIRO PRIALE 210","20100152356","3","",""
"renipress.eess_00010827","renipress.microred_36_00_00","11","00010827","HOGAR DE LA MADRE CLINICA-HOSPITAL","150122","6","1","3","01 4402800","LUIS ALFONSO LOPEZ CHAU PASTOR ","15/11/1976","OTROS GERVASIO SANTILLANA Nº 260 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA","20108568098","1","-77.0295839","-12.1044188"
"renipress.eess_00012995","renipress.microred_11_00_00","11","00012995","SAN JUAN PABLO II","080106","7","1","3","084-581700","CARLOS ALBERTO VIRTO CONCHA ","01/01/1996","OTROS PLAZOLETA ALMUDENA S/Nº DIST. SANTIAGO, PROV.CUSCO, DPTO. CUSCO NÚMERO S/N DISTRITO SANTIAGO PROVINCIA CUSCO DEPARTAMENTO CUSCO","20116320682","1","-71.98795468","-13.52660927"
"renipress.eess_00013772","renipress.microred_28_00_00","11","00013772","HOSPITAL UNIVERSITARIO DE LA UNIVERSIDAD NACIONAL DE PIURA","200104","5","1","3","073-344748","JULISSA CORTEZ PASAPERA ","29/02/2012","AV. LUIS MONTERO S/N","20172606777","1","",""
"renipress.eess_00014417","renipress.microred_30_00_00","11","00014417","CENTRO MEDICO UNIVERSITARIO DE LA FACULTAD DE CIENCIAS DE LA SALUD","220910","99","0","1","042-521402   ANEXO 111 - 112","LOLITA AREVALO FASANANDO ","01/05/2005","JR.  CALLAO CUADRA 5  S/N","20160766191","2","",""
"renipress.eess_00014534","renipress.microred_17_00_00","11","00014534","CENTRO MEDICO SAN FELIPE","120101","99","1","3","064-504753","EDSON RICARDO RUIZ SARAVIA ","19/11/1985","JIRÓN JR. MANTARO N° 164 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN","20133670191","2","-75.2102976","-12.0686357"
"renipress.eess_00015310","renipress.microred_4_00_00","11","00015310","CENTRO MEDICO UNIVERSITARIO PEDRO P. DIAZ","040101","4","1","3","054-462424","AMERICO MAYORGA CANALES ","27/02/1979","PROLONGACION GONZALES PRADA S/N URB. PEDRO P. DÍAZ","20163646499","1","",""
"renipress.eess_00017645","renipress.microred_30_00_00","11","00017645","CENTRO MEDICO UNIVERSITARIO","220910","3","1","3","042-521402","JOSE MANUEL DELGADO BARDALES ","03/11/2010","JIRÓN JR. CALLAO CUADRA 5 S/N NÚMERO S/N DISTRITO MORALES PROVINCIA SAN MARTIN DEPARTAMENTO SAN MARTIN","20160766191","2","-76.380368","-6.48414731"
"renipress.eess_00017845","renipress.microred_4_00_00","11","00017845","CENTRO ATENCIÓN PRIMARIA UNSA - CERRO COLORADO","040101","3","1","3","054-444197","ROBERTO HUAMANI ALMIRON ","01/10/2013","AVENIDA AV. AEROPUERTO N° 504 DISTRITO AREQUIPA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA","20163646499","2","-71.56168855","-16.35082301"
"renipress.eess_00018940","renipress.microred_36_00_00","11","00018940","INSTITUTO DE TRASPLANTES DE ÓRGANOS Y TEJIDOS DE LAS FUERZAS ARMADAS Y POLICÍA NACIONAL DEL PERÚ","150136","99","1","3","511-5621371","MARCO ANTONIO IBARCENA REYES ","01/08/2014","JR. NAPO 160-162. URB. PANDO.","20131367938","3","",""
"renipress.eess_00019246","renipress.microred_21_00_00","11","00019246","CONSULTORIO MEDICO DE SEDAPAL CENTRO OPERATIVO PRINCIPAL Y PLANTA","150111","2","1","3","3173000","ROBERTO CARLOS MUÑOZ ALDANA ","30/10/2014","OTROS AUTOPISTA RAMIRO PRIALE Nº 210, LA ATARJEA DISTRITO EL AGUSTINO PROVINCIA LIMA DEPARTAMENTO LIMA","20100152356","2","-76.9838113","-12.0331248"
"renipress.eess_00019247","renipress.microred_21_00_00","11","00019247","AMBULANCIA  DEL CONSULTORIO MEDICO DE SEDAPAL","150111","99","0","1","3173000","JORGE RICARDO CAYCHO ORTIZ ","10/10/2014","AUTOPISTA RAMIRO PRIALE 210 - LA ATARJEA","20100152356","3","",""
"renipress.eess_00020120","renipress.microred_11_00_00","11","00020120","CENTRO UNIVERSITARIO DE SALUD","080101","3","1","3","084-224181, ANEXO 1440","WALDO JOSE AMARU CALLO VILLA ","02/01/1950","AVENIDA DE LA CULTURA Nº 733, BLOQUE 27 , 1ER PISO, PUERTA 3 ,","20172474501","2","",""
"renipress.eess_00020806","renipress.microred_36_00_00","11","00020806","SERVICIO INFORMACIÓN, ORIENTACIÓN Y CONSEJERÍA PSICOLÓGICA ESPECIALIZADA EN DROGAS HABLA FRANCO","150122","1","1","3","1815","LUIS SANTIAGO ESPINOZA PAUL ","14/08/2015","AVENIDA AV. BENAVIDES 2199 - B DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA","20339267821","2","-77.009895","-12.1275129"
"renipress.eess_00020963","renipress.microred_14_00_00","11","00020963","CENTRO DE REHABILITACION  Y REVALIDACION OSCAR DECLERQ","100101","99","1","3","62513862","ANTAR MURIEL ESPINOZA FERNANDEZ ","01/03/2004","JIRÓN JR. BOLIVAR Nº 480 JR. BOLIVAR Nº 480 HUANUCO HUANUCO HUANUCO","20146021191","3","",""
"renipress.eess_00021432","renipress.microred_14_00_00","11","00021432","CENTRO MEDICO POLI -AMBULATORIO ""NUESTRA SEÑORA DE LA SALUD""","100101","99","0","1","062-513467","JOSE ALFONSO UCHUYA TORRES ","10/03/1993","AV. HEROES DE JACTAY S/N  MORAS","20191223285","2","",""
"renipress.eess_00021986","renipress.microred_36_00_00","11","00021986","INSTITUTO PERUANO DEL DEPORTE - DINASEB","150101","3","1","3","2048420","ALBERTO TEJADA CONROY ","12/06/1981","CALLE MADRE DE DIOS CDRA 3 SIN NUMERO ESTADIO NACIONAL TRIBUNA SUR","20135897044","2","",""
"renipress.eess_00023087","renipress.microred_28_00_00","11","00023087","HOSPITAL UNIVERSITARIO","200104","4","1","3","073-344748","LUIS GUILLERMO MARTIN CASTRO PEREZ ","08/05/2012","AVENIDA AV.LUIS MONTERO NÚMERO S/N DISTRITO CASTILLA PROVINCIA PIURA DEPARTAMENTO PIURA","20172606777","1","",""
"renipress.eess_00023365","renipress.microred_36_00_00","11","00023365","INSTITUTO PERUANO DEL DEPORTE","150134","2","1","3","2048420","ALBERTO TEJADA CONROY ","12/06/1981","AVENIDA DEL AIRE CDRA. 8 NÚMERO S/N DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA","20135897044","2","",""
"renipress.eess_00023690","renipress.microred_34_00_00","11","00023690","Casa de Salud Buen Samaritano","250101","99","1","3","061604329","ESMERALDA AMPARO GOMEZ ALVAREZ ","20/07/2014","JIRÓN Guillermo Sisley NÚMERO 500 DISTRITO CALLERIA PROVINCIA CORONEL PORTILLO DEPARTAMENTO UCAYALI","20166789291","3","",""
"renipress.eess_00024174","renipress.microred_17_00_00","11","00024174","DEPARTAMENTO BIOMEDICO IPD","120101","2","1","3","064-201019","LEYDI SARITA PALOMINO LUDEÑA ","20/03/2009","AVENIDA HUANCAVELICA NÚMERO 1216 PISO 1 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN","20135897044","2","",""
"renipress.eess_00024411","renipress.microred_4_00_00","11","00024411","CENTRO UNIVERSITARIO DE SALUD RIO SECO","040101","2","1","3","054-443869","OSCAR EDUARDO ALEMAN DELGADO ","17/10/1992","CALLE Libertad MANZANA Mz O LOTE 26 DISTRITO AREQUIPA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA","20163646499","2","",""
"renipress.eess_00024892","renipress.microred_4_00_00","11","00024892","Sanidad de Cadetes","040102","2","1","3","054220361","JESUS LIDIA SOLIS DE ASPILCUETA ","08/10/1947","AVENIDA Victor Raul Haya de la Torre NÚMERO SIN NUMERO DISTRITO ALTO SELVA ALEGRE PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA","20209556431","2","",""
"renipress.eess_00025188","renipress.microred_17_00_00","11","00025188","CENTRO MEDICO DE LA UNCP","120114","3","1","3","964649009","NOEMI CARDENAS GARCIA ","13/12/1962","AVENIDA MARISCAL CASTILLA NÚMERO 4089 PISO 1 DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN","20145561095","2","-75.2173617","-12.0573099"
"renipress.eess_00025320","renipress.microred_28_00_00","11","00025320","CENTRO MEDICO VIRGEN DE GUADALUPE","200601","3","1","3","073-502308","LEYVI DANITZA CURAY NAVARRO ","14/06/2017","CALLE BOLIVAR NÚMERO 216 DISTRITO SULLANA PROVINCIA SULLANA DEPARTAMENTO PIURA","20159199062","2","",""
"renipress.eess_00025329","renipress.microred_13_00_00","11","00025329","POSTA MEDICA CAMPO ARMIÑO","090705","2","1","3","017083400","LUCIO FELIX VERA MARTICORENA ","25/12/2017","CAMINO AFIRMADO Campamento Campo Armiño NÚMERO S/N DISTRITO COLCABAMBA PROVINCIA TAYACAJA DEPARTAMENTO HUANCAVELICA","20100027705","2","-75.573921","-12.96719"
"renipress.eess_00025748","renipress.microred_24_00_00","11","00025748","CENTRO DE ATENCIÓN IQUITOS - AHF PERU","160101","2","1","3","065 - 223268","GIULIANNA EVELYN LOPEZ RAFAEL ","04/09/2018","JIRÓN PUTUMAYO NÚMERO 1122 DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO","20557505301","2","-73.2602493","-3.7311528"
"renipress.eess_00025953","renipress.microred_23_00_00","11","00025953","CONSULTORIO MEDICO DE SEDAPAL- VILLA EL SALVADOR","150142","2","1","3","999237447","ROBERTO CARLOS MUÑOZ ALDANA ","05/11/2018","AVENIDA SEP. INDUSTRIAL  Mz U Lt PQ. PARQUE IND DEL CONO SUR PARC.I DISTRITO VILLA EL SALVADOR PROVINCIA LIMA DEPARTAMENTO LIMA","20100152356","2","-76.9446812","-12.1865572"
"renipress.eess_00026184","renipress.microred_11_00_00","11","00026184","QHALI RUNA","080104","3","1","3","084 605000-3240","ANGELICA ANCHARI MORALES ","20/12/2018","CARRETERA Cusco - Saylla N?ERO S/N DISTRITO SAN JERONIMO PROVINCIA CUSCO DEPARTAMENTO CUSCO","20177395227","2","-71.86455661","-13.55179143"
