"id","microred_id/id","institucion","codigo_eess","name","ubigeo","categoria","estado","condicion","telefono","responsable","inicio_actividad","direccion","ruc","tipo","coor_norte","coor_este"
"renipress.eess_00007832","renipress.microred_8_00_00","4","00007832","DEPARTAMENTO DE SANIDAD DEL GRUPO DE LOS SERVICIOS DEL ALA AEREA N°2","070101","3","1","3","517-1400","GRACIELA MAGNA CORDOVA DE HUETE ","28/03/2007","AVENIDA ELMER FAUCETT S/N","20144364059","1","",""
"renipress.eess_00008016","renipress.microred_33_00_00","6","00008016","ENFERMERIA DESTACAMENTO INFANTERIA DE MARINA ""EL SALTO""","240301","1","0","1","72523505","MANUEL JESUS PAUCA MENDIETA ","01/01/1959","CARRETERA EL BENDITO S/N - ZARUMILLA","20153408191","2","-80.3159793","-3.4509038"
"renipress.eess_00008017","renipress.microred_33_00_00","6","00008017","ENFERMERIA VIA NAVAL -TUMBES","240101","2","1","3","72523505","JORGE RENATO LINARES LLANOS ","01/01/1982","AVENIDA AV. LOS TUMPIS S/N VILLA NAVAL -TUMBES NÚMERO S/N DISTRITO TUMBES PROVINCIA TUMBES DEPARTAMENTO TUMBES","20153408191","2","-80.4546507","-3.5599234"
"renipress.eess_00008036","renipress.microred_3_00_00","5","00008036","POLICLINICO DE LA SANIDAD  POLICIA NACIONAL DEL PERU","030101","3","1","3","083-323710","DINA MARITZA QUISPE BARAZORDA ","01/01/1900","JIRÓN JR. SANIDAD S/N BARRIO POLICIAL VILLA AMPAY NÚMERO S/N DISTRITO ABANCAY PROVINCIA ABANCAY DEPARTAMENTO APURIMAC","20504380077","2","-72.88813747","-13.63107169"
"renipress.eess_00008083","renipress.microred_19_00_00","4","00008083","Establecimiento de Salud FAP ""HOREN"" Chiclayo","140101","3","1","3","074-208417 (136)","ADRIAN CLAUDIO COASACA CONDORI ","01/01/1935","CARRETERA CARRETERA POMALCA S/N N?ERO S/N DISTRITO CHICLAYO PROVINCIA CHICLAYO DEPARTAMENTO LAMBAYEQUE","20144364059","2","-79.82084709","-6.77078206"
"renipress.eess_00008111","renipress.microred_8_00_00","6","00008111","CENTRO DE VACUNACION INTERNACIONAL DEL CENTRO MEDICO NAVAL CIRUJANO MAYOR SANTIAGO TAVARA","070102","99","0","1","01-6137600","SOFIA DEL CARMEN GONZALEZ COLLANTES ","01/01/1990","AVENIDA VENEZUELA S/N CDRA. 26","20153408191","3","",""
"renipress.eess_00008266","renipress.microred_8_00_00","6","00008266","HOSPITAL NAVAL","070102","8","1","3","01-2245414","WILFREDO ORDAYA LUEY ","04/07/1956","AVENIDA AV. VENEZUELA S/N NÚMERO S/N DISTRITO BELLAVISTA PROVINCIA CALLAO DEPARTAMENTO CALLAO","20153408191","1","-77.0901374","-12.0617901"
"renipress.eess_00008292","renipress.microred_23_00_00","3","00008292","CENTRO MEDICO DE LA ESCUELA MILITAR DE CHORRILLOS ""CORONEL FRANCISCO BOLOGNESI""","150108","4","1","3","01 252 0236","JACKELINE SUSAN KAWAKAMI CARRASCO ","24/04/1898","AVENIDA AVENIDA ESCUELA MILITAR S/N CHORRILLOS NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA","20131369124","2","-77.0189409","-12.1601295"
"renipress.eess_00008376","renipress.microred_23_00_00","3","00008376","ESTABLECIMIENTO DE SALUD DE LA 1ª BRIGADA DE LAS FUERZAS ESPECIALES DEL EJERCITO","150108","2","1","3","(51)1-4676635","ANDREY SANCHEZ DEL AGUILA ","05/05/1960","AVENIDA AV. LAS PALMAS S/N CHORRILLOS NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA","20131369124","2","-77.0097828","-12.1591581"
"renipress.eess_00008706","renipress.microred_23_00_00","3","00008706","ESTABLECIMIENTO DE SALUD MILITAR - COEDE","150108","2","1","3","4675837","MELISSA DEBORAH CARPIO PAJAR ","01/01/1980","AVENIDA ESCUELA MILITAR NÚMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA","20131369124","2","-77.0189409","-12.1601295"
