id,name,code,state_id:id,province_id:id,country_id:id
ubigeos_0101,CHACHAPOYAS,101,base.state_pe_01,,base.pe
ubigeos_010101,CHACHAPOYAS,10101,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010102,ASUNCION,10102,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010103,BALSAS,10103,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010104,CHETO,10104,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010105,CHILIQUIN,10105,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010106,CHUQUIBAMBA,10106,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010107,GRANADA,10107,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010108,HUANCAS,10108,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010109,LA JALCA,10109,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010110,LEIMEBAMBA,10110,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010111,LEVANTO,10111,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010112,MAGDALENA,10112,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010113,MARISCAL CASTILLA,10113,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010114,MOLINOPAMPA,10114,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010115,MONTEVIDEO,10115,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010116,OLLEROS,10116,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010117,QUINJALCA,10117,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010118,SAN FRANCISCO DE DAGUAS,10118,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010119,SAN ISIDRO DE MAINO,10119,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010120,SOLOCO,10120,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_010121,SONCHE,10121,base.state_pe_01,ubigeos_0101,base.pe
ubigeos_0102,BAGUA,102,base.state_pe_01,,base.pe
ubigeos_010201,BAGUA,10201,base.state_pe_01,ubigeos_0102,base.pe
ubigeos_010202,ARAMANGO,10202,base.state_pe_01,ubigeos_0102,base.pe
ubigeos_010203,COPALLIN,10203,base.state_pe_01,ubigeos_0102,base.pe
ubigeos_010204,EL PARCO,10204,base.state_pe_01,ubigeos_0102,base.pe
ubigeos_010205,IMAZA,10205,base.state_pe_01,ubigeos_0102,base.pe
ubigeos_010206,LA PECA,10206,base.state_pe_01,ubigeos_0102,base.pe
ubigeos_0103,BONGARA,103,base.state_pe_01,,base.pe
ubigeos_010301,JUMBILLA,10301,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010302,CHISQUILLA,10302,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010303,CHURUJA,10303,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010304,COROSHA,10304,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010305,CUISPES,10305,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010306,FLORIDA,10306,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010307,JAZAN,10307,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010308,RECTA,10308,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010309,SAN CARLOS,10309,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010310,SHIPASBAMBA,10310,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010311,VALERA,10311,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_010312,YAMBRASBAMBA,10312,base.state_pe_01,ubigeos_0103,base.pe
ubigeos_0104,CONDORCANQUI,104,base.state_pe_01,,base.pe
ubigeos_010401,NIEVA,10401,base.state_pe_01,ubigeos_0104,base.pe
ubigeos_010402,EL CENEPA,10402,base.state_pe_01,ubigeos_0104,base.pe
ubigeos_010403,RIO SANTIAGO,10403,base.state_pe_01,ubigeos_0104,base.pe
ubigeos_0105,LUYA,105,base.state_pe_01,,base.pe
ubigeos_010501,LAMUD,10501,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010502,CAMPORREDONDO,10502,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010503,COCABAMBA,10503,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010504,COLCAMAR,10504,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010505,CONILA,10505,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010506,INGUILPATA,10506,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010507,LONGUITA,10507,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010508,LONYA CHICO,10508,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010509,LUYA,10509,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010510,LUYA VIEJO,10510,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010511,MARIA,10511,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010512,OCALLI,10512,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010513,OCUMAL,10513,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010514,PISUQUIA,10514,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010515,PROVIDENCIA,10515,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010516,SAN CRISTOBAL,10516,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010517,SAN FRANCISCO DE YESO,10517,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010518,SAN JERONIMO,10518,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010519,SAN JUAN DE LOPECANCHA,10519,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010520,SANTA CATALINA,10520,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010521,SANTO TOMAS,10521,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010522,TINGO,10522,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_010523,TRITA,10523,base.state_pe_01,ubigeos_0105,base.pe
ubigeos_0106,RODRIGUEZ DE MENDOZA,106,base.state_pe_01,,base.pe
ubigeos_010601,SAN NICOLAS,10601,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010602,CHIRIMOTO,10602,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010603,COCHAMAL,10603,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010604,HUAMBO,10604,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010605,LIMABAMBA,10605,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010606,LONGAR,10606,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010607,MARISCAL BENAVIDES,10607,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010608,MILPUC,10608,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010609,OMIA,10609,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010610,SANTA ROSA,10610,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010611,TOTORA,10611,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_010612,VISTA ALEGRE,10612,base.state_pe_01,ubigeos_0106,base.pe
ubigeos_0107,UTCUBAMBA,107,base.state_pe_01,,base.pe
ubigeos_010701,BAGUA GRANDE,10701,base.state_pe_01,ubigeos_0107,base.pe
ubigeos_010702,CAJARURO,10702,base.state_pe_01,ubigeos_0107,base.pe
ubigeos_010703,CUMBA,10703,base.state_pe_01,ubigeos_0107,base.pe
ubigeos_010704,EL MILAGRO,10704,base.state_pe_01,ubigeos_0107,base.pe
ubigeos_010705,JAMALCA,10705,base.state_pe_01,ubigeos_0107,base.pe
